alt1.aspmx.l.google.com	2a00:1450:4025:c01::1b
alt2.aspmx.l.google.com	2a00:1450:4001:c21::1a
alt3.aspmx.l.google.com	2404:6800:4000:1025::1a
alt4.aspmx.l.google.com	2404:6800:4013:813::1b
aspmx.l.google.com	2a00:1450:400c:c09::1b
bob-staging-cdn.chefsplate.com	2606:4700:440b::ac40:9bfe
bob-staging-cdn.chefsplate.com	2606:4700:440d::6812:2002
bob.chefsplate.com	2606:4700:440b::ac40:9bfe
bob.chefsplate.com	2606:4700:440d::6812:2002
cook.chefsplate.com	2606:4700:440d::6812:2002
cook.chefsplate.com	2606:4700:440b::ac40:9bfe
easy.chefsplate.com	2606:4700:440b::ac40:9bfe
easy.chefsplate.com	2606:4700:440d::6812:2002
eat.chefsplate.com	2606:4700:440d::6812:2002
eat.chefsplate.com	2606:4700:440b::ac40:9bfe
fr-support.chefsplate.com	2606:4700:440b::ac40:9bfe
fr-support.chefsplate.com	2606:4700:440d::6812:2002
image.link.chefsplate.com	2600:9000:2006:1e00:3:cf9f:b2c0:93a1
image.link.chefsplate.com	2600:9000:2006:e600:3:cf9f:b2c0:93a1
image.link.chefsplate.com	2600:9000:2006:ac00:3:cf9f:b2c0:93a1
image.link.chefsplate.com	2600:9000:2006:7800:3:cf9f:b2c0:93a1
image.link.chefsplate.com	2600:9000:2006:e800:3:cf9f:b2c0:93a1
image.link.chefsplate.com	2600:9000:2006:fe00:3:cf9f:b2c0:93a1
image.link.chefsplate.com	2600:9000:2006:7c00:3:cf9f:b2c0:93a1
image.link.chefsplate.com	2600:9000:2006:e00:3:cf9f:b2c0:93a1
links.chefsplate.com	2606:4700:440d::6812:2002
links.chefsplate.com	2606:4700:440b::ac40:9bfe
live-vercel.chefsplate.com	2606:4700:440d::6812:2002
live-vercel.chefsplate.com	2606:4700:440b::ac40:9bfe
media.chefsplate.com	2600:9000:20e8:b200:1d:eb4a:b000:93a1
media.chefsplate.com	2600:9000:20e8:1000:1d:eb4a:b000:93a1
media.chefsplate.com	2600:9000:20e8:cc00:1d:eb4a:b000:93a1
media.chefsplate.com	2600:9000:20e8:ce00:1d:eb4a:b000:93a1
media.chefsplate.com	2600:9000:20e8:6c00:1d:eb4a:b000:93a1
media.chefsplate.com	2600:9000:20e8:9e00:1d:eb4a:b000:93a1
media.chefsplate.com	2600:9000:20e8:6000:1d:eb4a:b000:93a1
media.chefsplate.com	2600:9000:20e8:1200:1d:eb4a:b000:93a1
mobile.chefsplate.com	2606:4700:440d::6812:2002
mobile.chefsplate.com	2606:4700:440b::ac40:9bfe
stage.mobile.chefsplate.com	2606:4700:440d::6812:2002
stage.mobile.chefsplate.com	2606:4700:440b::ac40:9bfe
staging-vercel.chefsplate.com	2606:4700:440d::6812:2002
staging-vercel.chefsplate.com	2606:4700:440b::ac40:9bfe
static-staging-cdn.chefsplate.com	2606:4700:440b::ac40:9bfe
static-staging-cdn.chefsplate.com	2606:4700:440d::6812:2002
