142.250.101.27	dz-in-f27.1e100.net
161.71.33.242	reply.s50.exacttarget.com
161.71.38.114	mta2.link.chefsplate.com
161.71.38.115	mta3.link.chefsplate.com
161.71.38.116	mta4.link.chefsplate.com
161.71.38.117	mta5.link.chefsplate.com
161.71.38.118	mta6.link.chefsplate.com
161.71.38.119	mta7.link.chefsplate.com
161.71.80.59	cloud.link.chefsplate.com
172.253.157.26	yubrupd-in-f26.1e100.net
192.178.158.27	lcdels-in-f27.1e100.net
192.178.211.26	lcbomp-in-f26.1e100.net
192.178.230.26	yunrtab-in-f26.1e100.net
3.164.230.29	server-3-164-230-29.arn53.r.cloudfront.net
3.164.230.66	server-3-164-230-66.arn53.r.cloudfront.net
34.111.99.212	212.99.111.34.bc.googleusercontent.com
34.160.169.32	32.169.160.34.bc.googleusercontent.com
52.209.242.51	ec2-52-209-242-51.eu-west-1.compute.amazonaws.com
54.240.174.54	server-54-240-174-54.osl50.r.cloudfront.net
