108.177.125.27	tp-in-f27.1e100.net
161.71.33.242	reply.s50.exacttarget.com
161.71.38.108	mta2.link.everyplate.com.au
161.71.38.109	mta3.link.everyplate.com.au
161.71.38.110	mta4.link.everyplate.com.au
161.71.38.111	mta5.link.everyplate.com.au
161.71.59.150	click.link.everyplate.com.au
161.71.80.58	cloud.link.everyplate.com.au
172.217.221.27	yunrtaa-in-f27.1e100.net
172.253.152.26	yulpptr-in-f26.1e100.net
172.253.158.27	so-in-f27.1e100.net
18.158.228.216	ec2-18-158-228-216.eu-central-1.compute.amazonaws.com
192.178.158.27	lcdels-in-f27.1e100.net
192.178.230.26	yunrtab-in-f26.1e100.net
205.201.133.57	mail57.atl11.rsgsv.net
3.164.230.66	server-3-164-230-66.arn53.r.cloudfront.net
3.167.2.48	server-3-167-2-48.osl50.r.cloudfront.net
3.211.161.173	ec2-3-211-161-173.compute-1.amazonaws.com
3.79.130.38	ec2-3-79-130-38.eu-central-1.compute.amazonaws.com
34.227.209.168	ec2-34-227-209-168.compute-1.amazonaws.com
34.242.102.67	ec2-34-242-102-67.eu-west-1.compute.amazonaws.com
34.248.159.121	ec2-34-248-159-121.eu-west-1.compute.amazonaws.com
46.51.200.92	ec2-46-51-200-92.eu-west-1.compute.amazonaws.com
52.209.242.51	ec2-52-209-242-51.eu-west-1.compute.amazonaws.com
52.21.142.91	ec2-52-21-142-91.compute-1.amazonaws.com
54.216.50.79	ec2-54-216-50-79.eu-west-1.compute.amazonaws.com
63.35.200.242	ec2-63-35-200-242.eu-west-1.compute.amazonaws.com
99.84.152.97	server-99-84-152-97.fra56.r.cloudfront.net
