161.71.104.15	view.link.goodchop.com
161.71.33.242	reply.s50.exacttarget.com
161.71.66.136	mta.link.goodchop.com
161.71.66.143	mta3.link.goodchop.com
161.71.66.145	mta5.link.goodchop.com
161.71.89.12	cloud.link.goodchop.com
161.71.96.19	click.link.goodchop.com
172.217.78.27	yurnoyc-in-f27.1e100.net
172.253.152.27	yulpptr-in-f27.1e100.net
192.178.158.26	lcdels-in-f26.1e100.net
192.178.158.27	lcdels-in-f27.1e100.net
192.178.211.27	lcbomp-in-f27.1e100.net
192.178.223.27	yulhrs-in-f27.1e100.net
23.227.38.74	shops.myshopify.com
34.111.99.212	212.99.111.34.bc.googleusercontent.com
34.242.102.67	ec2-34-242-102-67.eu-west-1.compute.amazonaws.com
34.248.159.121	ec2-34-248-159-121.eu-west-1.compute.amazonaws.com
34.248.200.201	ec2-34-248-200-201.eu-west-1.compute.amazonaws.com
52.209.242.51	ec2-52-209-242-51.eu-west-1.compute.amazonaws.com
52.211.114.94	ec2-52-211-114-94.eu-west-1.compute.amazonaws.com
52.51.199.159	ec2-52-51-199-159.eu-west-1.compute.amazonaws.com
54.240.174.55	server-54-240-174-55.osl50.r.cloudfront.net
63.35.200.242	ec2-63-35-200-242.eu-west-1.compute.amazonaws.com
74.125.199.26	ph-in-f26.1e100.net
