108.177.125.27	tp-in-f27.1e100.net
142.251.127.26	lcfrai-in-f26.1e100.net
161.71.33.242	reply.s50.exacttarget.com
161.71.38.101	mta6.link.greenchef.co.uk
161.71.38.128	mta.link.greenchef.co.uk
161.71.38.78	mta3.link.greenchef.co.uk
161.71.66.156	mta10.link.greenchef.co.uk
161.71.81.99	cloud.link.greenchef.co.uk
172.253.157.27	yubrupd-in-f27.1e100.net
172.253.158.27	so-in-f27.1e100.net
18.158.228.216	ec2-18-158-228-216.eu-central-1.compute.amazonaws.com
205.201.133.57	mail57.atl11.rsgsv.net
3.211.161.173	ec2-3-211-161-173.compute-1.amazonaws.com
3.79.130.38	ec2-3-79-130-38.eu-central-1.compute.amazonaws.com
34.227.209.168	ec2-34-227-209-168.compute-1.amazonaws.com
34.242.102.67	ec2-34-242-102-67.eu-west-1.compute.amazonaws.com
34.248.159.121	ec2-34-248-159-121.eu-west-1.compute.amazonaws.com
46.51.200.92	ec2-46-51-200-92.eu-west-1.compute.amazonaws.com
52.209.242.51	ec2-52-209-242-51.eu-west-1.compute.amazonaws.com
52.21.142.91	ec2-52-21-142-91.compute-1.amazonaws.com
54.216.50.79	ec2-54-216-50-79.eu-west-1.compute.amazonaws.com
63.35.200.242	ec2-63-35-200-242.eu-west-1.compute.amazonaws.com
