alt1.aspmx.l.google.com	2a00:1450:4013:c1e::1b
alt2.aspmx.l.google.com	2a00:1450:4025:c01::1a
alt3.aspmx.l.google.com	2a00:1450:4001:c21::1b
alt4.aspmx.l.google.com	2a00:1450:400c:c23::1a
aspmx.l.google.com	2a00:1450:4001:c21::1b
bob-staging-cdn.greenchef.com	2606:4700:4409::6812:2389
bob-staging-cdn.greenchef.com	2606:4700:4405::ac40:9877
bob.backup.greenchef.com	2606:4700:4409::6812:2389
bob.backup.greenchef.com	2606:4700:4405::ac40:9877
bob.greenchef.com	2606:4700:4405::ac40:9877
bob.greenchef.com	2606:4700:4409::6812:2389
cg.greenchef.com	2606:4700:4409::6812:2389
cg.greenchef.com	2606:4700:4405::ac40:9877
chef.greenchef.com	2606:4700:4409::6812:2389
chef.greenchef.com	2606:4700:4405::ac40:9877
image.link.greenchef.com	2600:9000:2182:3e00:3:cf9f:b2c0:93a1
image.link.greenchef.com	2600:9000:2182:2e00:3:cf9f:b2c0:93a1
image.link.greenchef.com	2600:9000:2182:4800:3:cf9f:b2c0:93a1
image.link.greenchef.com	2600:9000:2182:e00:3:cf9f:b2c0:93a1
image.link.greenchef.com	2600:9000:2182:b400:3:cf9f:b2c0:93a1
image.link.greenchef.com	2600:9000:2182:f200:3:cf9f:b2c0:93a1
image.link.greenchef.com	2600:9000:2182:1200:3:cf9f:b2c0:93a1
image.link.greenchef.com	2600:9000:2182:2800:3:cf9f:b2c0:93a1
images.greenchef.com	2600:9000:218d:c00:1d:eb4a:b000:93a1
images.greenchef.com	2600:9000:218d:b000:1d:eb4a:b000:93a1
images.greenchef.com	2600:9000:218d:9000:1d:eb4a:b000:93a1
images.greenchef.com	2600:9000:218d:8c00:1d:eb4a:b000:93a1
images.greenchef.com	2600:9000:218d:3800:1d:eb4a:b000:93a1
images.greenchef.com	2600:9000:218d:3e00:1d:eb4a:b000:93a1
images.greenchef.com	2600:9000:218d:f600:1d:eb4a:b000:93a1
images.greenchef.com	2600:9000:218d:ee00:1d:eb4a:b000:93a1
links.greenchef.com	2606:4700:4409::6812:2389
links.greenchef.com	2606:4700:4405::ac40:9877
live-vercel.greenchef.com	2606:4700:4405::ac40:9877
live-vercel.greenchef.com	2606:4700:4409::6812:2389
lp.greenchef.com	2a06:98c1:3106::ac40:95d5
lp.greenchef.com	2a06:98c1:3106::6812:262b
media.greenchef.com	2600:9000:20e8:1c00:1d:eb4a:b000:93a1
media.greenchef.com	2600:9000:20e8:f200:1d:eb4a:b000:93a1
media.greenchef.com	2600:9000:20e8:ba00:1d:eb4a:b000:93a1
media.greenchef.com	2600:9000:20e8:b800:1d:eb4a:b000:93a1
media.greenchef.com	2600:9000:20e8:fc00:1d:eb4a:b000:93a1
media.greenchef.com	2600:9000:20e8:7c00:1d:eb4a:b000:93a1
media.greenchef.com	2600:9000:20e8:aa00:1d:eb4a:b000:93a1
media.greenchef.com	2600:9000:20e8:9e00:1d:eb4a:b000:93a1
mobile.greenchef.com	2606:4700:4405::ac40:9877
mobile.greenchef.com	2606:4700:4409::6812:2389
